Timestamp;TEMPERATURE[degC];HUMIDITY[%];WIND_SPEED[m1s];WIND_DIR[deg];GHI[kW1m2];POA Irr[kW1m2];P_Gaia[kW];P_Solar[kW];Pressure[mbar];Azimuth[deg];Elevation[deg]
43590,79167;8,286444444;0,634944444;4,331555556;271,4227778;3,05556E-05;0,000650833;0;0,00512487;1000;0;0
43590,83333;7,601388889;0,7;4,602555556;260,6080556;0;0;0;0;1000;0;0
43590,875;6,315583333;0,7;3,645638889;240,6155556;0;0;0;0;1000;0;0
43590,91667;5,374472222;0,771527778;3,740694444;235,2619444;0;0;0;0;1000;0;0
43590,95833;4,879833333;0,8;3,43075;220,5566667;0;0;0;0;1000;0;0
43591;4,771388889;0,8;3,744527778;223,9644444;0;0;0;0;2000;0;0
43353;15,9385;0,882277778;4,200916667;157,3891667;0;0;0;0;2000;0;0
43353,04167;16,349;0,8;4,394833333;157,1272222;0;0;0;0;1000;0;0
43353,08333;16,26769444;0,8;3,950888889;159,4308333;0;0;0;0;1000;0;0
43353,125;16,51119444;0,8;5,215416667;165,4969444;0;0;0;0;1000;0;0
43353,16667;16,47391667;0,784138889;4,505583333;166,4988889;0,000691667;0,000899167;0;0,006826347;1000;0;0
43353,20833;16,56886111;0,700388889;3,731805556;169,9461111;0,020253889;0,015250556;0;0,11554474;1000;0;0
43353,25;17,35330556;0,7;3,485472222;180,1033333;0,090108056;0,065357222;0;0,490582109;1000;0;0
43353,29167;17,60227778;0,700805556;3,289083333;195,9313889;0,124733611;0,103748889;0;0,774326393;1000;0;0
43353,33333;18,59725;0,714583333;3,645;216,7655556;0,259758056;0,287873611;0;2,094243457;1000;0;0
43353,375;18,61777778;0,775666667;4,001111111;255,0544444;0,139071667;0,128488611;0;0,95236578;1000;0;0
43353,41667;19,24080556;0,729361111;3,3215;252,2133333;0,344300833;0,48606;0;3,439093039;1000;0;0
43353,45833;19,38372222;0,69175;3,797388889;256,4422222;0,231787222;0,271062778;0;1,969090373;1000;0;0
43353,5;19,27347222;0,669194444;4,429666667;278,46;0,282023056;0,294817222;0;2,139850902;1000;0;0
43353,54167;18,70697222;0,623666667;3,840416667;275,7872222;0,220733056;0,199428889;0;1,465478015;1000;0;0
43353,58333;18,62516667;0,611722222;3,540361111;275,5366667;0,207485;0,221381111;0;1,622520632;1000;0;0
43353,625;17,73566667;0,699416667;3,281888889;272,5730556;0,088084722;0,065466667;0;0,4904847;1000;0;0
43353,66667;17,00258333;0,665527778;3,210305556;257,8280556;0,038440556;0,027274444;0;0,205936099;1000;0;0
43353,70833;16,15866667;0,685055556;2,393194444;226,9511111;0,0048725;0,004469167;0;0,033962651;1000;0;0
43353,75;15,59466667;0,7;2,845333333;233,0227778;0;0;0;0;1000;0;0
43353,79167;15,14127778;0,7;2,341055556;210,5527778;0;0;0;0;1000;0;0
43353,83333;14,62458333;0,798694444;2,308944444;200,2275;0;0;0;0;1000;0;0
